FlightNumber;Month;Date;BoosterVersion;PayloadMass;Payload;Orbit;LaunchSite;LandingOutcome;Flights;GridFins;Reused;Legs;LandingPad;Block;Customers;Mission_Outcome;ReusedCount;Serial;Longitude;Latitude;Class
12;e;10/01/2015;Falcon 9;2395.0;CRS-5;ISS;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb761634e7cb;1.0;NASA (CRS);True;0;B1012;-80.577.366;285.618.571;0
13;f;11/02/2015;Falcon 9;570.0;DSCOVR;ES-L1;CCSFS SLC 40;True Ocean;1;True;False;True;;1.0;NASA,NOAA,USAF;True;0;B1013;-80.577.366;285.618.571;1
14;a;14/04/2015;Falcon 9;1898.0;CRS-6;ISS;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb761634e7cb;1.0;NASA (CRS);True;0;B1015;-80.577.366;285.618.571;0
15;a;27/04/2015;Falcon 9;4707.0;TürkmenÄlem 52°E / MonacoSAT;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;Turkmenistan National Space Agency;True;0;B1016;-80.577.366;285.618.571;0
16;j;28/06/2015;Falcon 9;2477.0;CRS-7;ISS;CCSFS SLC 40;None ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;1.0;NASA (CRS);False;0;B1018;-80.577.366;285.618.571;0
17;d;22/12/2015;Falcon 9;2034.0;Orbcomm-OG2-M2;LEO;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;1.0;Orbcomm;True;0;B1019;-80.577.366;285.618.571;1
18;e;17/01/2016;Falcon 9;553.0;Jason-3;PO;VAFB SLC 4E;False ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;1.0;NASA,NOAA;True;0;B1017;-120.610.829;34.632.093;0
19;m;04/03/2016;Falcon 9;5271.0;SES-9;GTO;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;1.0;SES;True;0;B1020;-80.577.366;285.618.571;0
20;a;08/04/2016;Falcon 9;3136.0;CRS-8;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;NASA (CRS);True;1;B1021;-80.577.366;285.618.571;1
21;m;06/05/2016;Falcon 9;4696.0;JCSAT-2B;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;SKY Perfect JSAT Group;True;0;B1022;-80.577.366;285.618.571;1
22;m;27/05/2016;Falcon 9;3100.0;Thaicom 8;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;Thaicom;True;1;B1023;-80.577.366;285.618.571;1
23;j;18/07/2016;Falcon 9;2257.0;CRS-9;ISS;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;2.0;NASA (CRS);True;1;B1025;-80.577.366;285.618.571;1
24;a;14/08/2016;Falcon 9;4600.0;JCSAT-16;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;SKY Perfect JCSAT Group;True;0;B1026;-80.577.366;285.618.571;1
25;s;01/09/2016;Falcon 9;5500.0;Amos-6;GTO;CCSFS SLC 40;None ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;3.0;Spacecom;False;0;B1028;-80.577.366;285.618.571;0
26;e;14/01/2017;Falcon 9;9600.0;Iridium NEXT 1;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;Iridium Communications;True;1;B1029;-120.610.829;34.632.093;1
27;f;19/02/2017;Falcon 9;2490.0;CRS-10;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;NASA (CRS);True;1;B1031;-806.039.558;286.080.585;1
28;m;16/03/2017;Falcon 9;5600.0;EchoStar 23;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;EchoStar;True;0;B1030;-806.039.558;286.080.585;0
29;m;30/03/2017;Falcon 9;5300.0;SES-10;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;2.0;SES;True;1;B1021;-806.039.558;286.080.585;1
30;m;01/05/2017;Falcon 9;6.123.547.647.058.820;NROL-76;LEO;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;NRO;True;1;B1032;-806.039.558;286.080.585;1
31;m;15/05/2017;Falcon 9;6070.0;Inmarsat-5 F4;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;Inmarsat;True;0;B1034;-806.039.558;286.080.585;0
32;j;03/06/2017;Falcon 9;2708.0;CRS-11;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;NASA (CRS);True;1;B1035;-806.039.558;286.080.585;1
33;j;23/06/2017;Falcon 9;3669.0;BulgariaSat-1;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;3.0;Bulgaria Sat;True;1;B1029;-806.039.558;286.080.585;1
34;j;25/06/2017;Falcon 9;9600.0;Iridium NEXT 2;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;Iridium Communications;True;1;B1036;-120.610.829;34.632.093;1
35;j;05/07/2017;Falcon 9;6761.0;Intelsat 35e;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;Intelsat;True;0;B1037;-806.039.558;286.080.585;0
36;a;14/08/2017;Falcon 9;2910.0;CRS-12;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;NASA (CRS);True;1;B1039;-806.039.558;286.080.585;1
37;a;24/08/2017;Falcon 9;475.0;FormoSat-5;SSO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;NSPO (Taiwan);True;1;B1038;-120.610.829;34.632.093;1
38;s;07/09/2017;Falcon 9;4990.0;X-37B OTV-5;LEO;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;USAF;True;1;B1040;-806.039.558;286.080.585;1
39;o;09/10/2017;Falcon 9;9600.0;Iridium NEXT 3;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;4.0;Iridium Communications;True;1;B1041;-120.610.829;34.632.093;1
